year,time_id,temporal_rr,temporal_q025,temporal_q975
1994,1,0.8840498225955512,0.8402070146169989,0.9317585211238266
1995,2,0.8940770547001713,0.8614161295960037,0.9287732344383969
1996,3,0.8940935783577011,0.8634955452041074,0.9265631637911949
1997,4,0.9797792683134471,0.9474892871025568,1.0136509300537075
1998,5,0.9796880600164457,0.9558146377572541,1.00431270579149
1999,6,0.9801575953775137,0.9219555931001095,1.0431922731512424
2000,7,0.9803776663301956,0.9171455946024545,1.0503807289396447
2001,8,0.9800757890257571,0.9300739868007878,1.0341778109084845
2002,9,0.98016660191224,0.9208336706259952,1.0446441959329171
2003,10,0.9799960820670361,0.9342296346084878,1.0291212100603253
2004,11,1.0002394630978098,0.962563731078643,1.0400203655239117
2005,12,1.0003299537056578,0.958646749882709,1.044924902702732
2006,13,1.0002701950189365,0.9606685649263387,1.0422907039137055
2007,14,1.000174517190654,0.9690304990249264,1.0328703131695045
2008,15,1.0001770692082583,0.9678422486014501,1.0341364631993488
2009,16,1.0001951102998916,0.9675061147843783,1.0345265156134333
2010,17,1.000156286235397,0.9684150384793063,1.0332192124239412
2011,18,1.0002805969398512,0.9627346870787566,1.040234445279064
2012,19,1.0002166986333008,0.9639653094644638,1.0383842002948154
2013,20,1.0002980135274793,0.9565970926903918,1.0465528347206159
2014,21,1.0005812107788248,0.9427465437786233,1.0635449400868748
2015,22,1.0002122008694336,0.9660079546481073,1.0361752609670933
2016,23,1.0001574130660635,0.9696440178779111,1.0320078094307592
2017,24,1.0001347484963772,0.9715289547040378,1.029776914605614
