gadm_name,province_id,spatial_rr,spatial_q025,spatial_q975
An Giang,1,19.273329966402883,12.629001176701596,30.30230431575895
Bà Rịa - Vũng Tàu,2,5.501735359576978,3.586903169123407,8.688140479792034
Bắc Giang,8,14.357284517278522,9.401707744676324,22.585811108473127
Bắc Kạn,9,8.540762663214572,5.576477257926309,13.469757650326468
Bạc Liêu,7,14.097974199246762,9.226672504053903,22.18878892028734
Bắc Ninh,10,19.84053568718094,12.9964046913602,31.202861723229297
Bến Tre,11,14.808011796646122,9.685627184986712,23.318108499821673
Bình Định,6,3.4811093583814294,2.268855450728849,5.500020759153333
Bình Dương,3,0.008326414994556927,7.591527343033431e-4,0.08736962255305145
Bình Phước,4,6.77449329838476,4.421299784447843,10.690224376612482
Bình Thuận,5,3.022461852511068,1.9647965266627065,4.784945559275723
Cà Mau,13,0.005190587641501248,5.054010105149214e-4,0.05051826276933257
Cần Thơ,14,86.51238576933498,56.715797391883676,135.95988895228163
Cao Bằng,12,11.403680193215148,7.460061873623569,17.95509063968181
Đà Nẵng,59,20.55384766718299,13.462053826426125,32.32800117227492
Đắk Lắk,60,0.30687327761940447,0.1785953434639541,0.5383057216515511
Đắk Nông,61,0.003788213004135441,3.6894081428655567e-4,0.03672558374438241
Điện Biên,58,0.14174312380283174,0.07389101005166122,0.2754559873764788
Đồng Nai,62,3.4595389933253857,2.2655145392174862,5.44243154978577
Đồng Tháp,63,0.03308299554139269,0.013323146982072862,0.08282450423985227
Gia Lai,15,0.011817424695156765,0.0028866056962723635,0.04685210094158295
Hà Giang,17,0.004995334701356377,8.647693851526211e-4,0.025520392614413183
Hà Nam,18,0.34894736815053307,0.21793647438915784,0.5726133597942131
Hà Nội,19,10.41152676506264,6.7988663323746374,16.418406506065317
Hà Tĩnh,20,6.616356954150787,4.335981590661388,10.401266912240043
Hải Dương,22,44.37078726408778,29.07907206334134,69.7516448401991
Hải Phòng,23,26.10969562982029,17.109560778332316,41.048663667279484
Hậu Giang,24,17.46164741242854,11.401608193901538,27.538330592858845
Hồ Chí Minh,25,0.005162956133716922,3.7941799740480925e-4,0.06617277942770747
Hoà Bình,16,14.956095587582832,9.79282916357412,23.52998569907366
Hưng Yên,21,0.0023221377743519226,1.8195734680198714e-4,0.026477484249345658
Khánh Hòa,26,27.50361264077559,18.018255425842824,43.25013756946709
Kiên Giang,27,0.006595689056364612,8.784771586446133e-4,0.04595282192024641
Kon Tum,28,1.0882529854305023,0.7018429847739691,1.7354852593258978
Lai Châu,29,0.001549920187445196,2.2293889808676224e-4,0.009955029312629158
Lâm Đồng,32,0.09881653289855867,0.04927986743799121,0.20057721242359977
Lạng Sơn,33,20.372954275547535,13.321944212622405,32.08918873264079
Lào Cai,31,0.4771742743298087,0.297741316054004,0.7848298638595448
Long An,30,37.1428643519661,24.3325217107031,58.409343918241845
Nam Định,34,5.792770399405419,3.773092337911324,9.156664429334336
Nghệ An,35,16.23990427100532,10.63444980209373,25.547249840139543
Ninh Bình,36,34.76428745297526,22.780030342300275,54.656918003681845
Ninh Thuận,37,0.9719314242031587,0.6184160085671287,1.569112391745074
Phú Thọ,38,3.346900241549174,2.1590645337197913,5.334546928914794
Phú Yên,39,31.04415110107943,20.341546507791982,48.8099929869458
Quảng Bình,40,0.008666367221808451,0.0018594234624792338,0.04045222145831385
Quảng Nam,41,0.0015134782625018319,2.43274677063697e-4,0.008698691494639291
Quảng Ngãi,42,0.35184097954500665,0.21938828281942316,0.5782990399996184
Quảng Ninh,43,0.05219580717141647,0.02370162200454061,0.11613398126300621
Quảng Trị,44,19.180013438881478,12.55785783105518,30.17661203631721
Sóc Trăng,45,21.09494439057169,13.820746377055293,33.17052650418056
Sơn La,46,14.601952769238952,9.554003656042275,22.987545726859164
Tây Ninh,54,0.0050244840047856286,6.003805053580327e-4,0.03999469369582075
Thái Bình,48,6.921077759908216,4.51850611787192,10.916407087645084
Thái Nguyên,49,3.3034713743319766,2.1452966083373077,5.234123692157623
Thanh Hóa,47,0.004999666959640256,6.842948892384974e-4,0.03402386111037569
Thừa Thiên Huế,50,0.004249528003300617,4.6214422170460996e-4,0.03739501265993104
Tiền Giang,51,0.004423706553918532,3.2436635617177895e-4,0.05600334942213065
Trà Vinh,52,36.760662764820374,24.082982049320492,57.806527185872774
Tuyên Quang,53,27.585544578497263,18.07773537468318,43.36662547275834
Vĩnh Long,55,32.89931675263583,21.531423785478516,51.780956644318685
Vĩnh Phúc,56,20.13431196444805,13.195232992855066,31.651720787850405
Yên Bái,57,19.815217144287868,12.981489537724414,31.159836943328695
