gadm_name,year,observed,population,expected,sir_raw,province_id,time_id,sir_mean,sir_sd,sir_q025,sir_q50,sir_q975,cri_95_width,exc_prob,evidence_level,incidence_raw,incidence_smoothed,spatial_rr,spatial_q025,spatial_q975
An Giang,1994,2376,2077825,1388.6234652678527,1.7110469896471838,1,1,1.7112568305082045,0.03511075614822457,1.64343579485546,1.7108967512869708,1.781126894130527,0.13769109927506684,0.9999997935551355,Very likely elevated,114.35034230505457,114.36436610126383,48.10319816313179,22.82005707200043,111.16681574170097
Bà Rịa - Vũng Tàu,1994,0,740828,495.09999375667,0,2,1,0.0025125028120487137,0.003989533251025279,1.3701511931437472e-4,0.0013522190320031887,0.011973666520230828,0.011836651400916453,0,Very likely lower,0,0.1679121370357133,0.03748942089499361,0.0037504114589233316,0.36967206663613067
Bắc Giang,1994,31,1505764,1006.3115149522135,0.03080557018317741,8,1,0.031015460878576838,0.005622133407360597,0.021450270771113424,0.03051813167283126,0.04341922391592966,0.021968953144816235,0,Very likely lower,2.058755555319426,2.0727826819914523,215.50907124783615,102.22706746565582,498.088332566602
Bắc Kạn,1994,0,274251,183.28366150815103,0,9,1,0.003877729573789804,0.017903431240115394,2.4655522710175857e-5,8.439308223314292e-4,0.02563940190445878,0.025614746381748606,4.1763534377348144e-5,Very likely lower,0,0.25915109685019827,0.04379470122142368,0.0042715679474107995,0.4429248277743072
Bạc Liêu,1994,0,688035,459.8181011035901,0,7,1,0.001665654082790134,0.002554788286583487,8.868856534338092e-5,9.085599244455849e-4,0.007863720334012312,0.007775031768668931,0,Very likely lower,0,0.11131670590071749,290.2598369096729,137.79971297760883,670.4010271860363
Bắc Ninh,1994,0,926613,619.2612732170616,0,10,1,0.0013315648162259177,0.0039041615733730567,2.1393555593939518e-5,4.4050307570149517e-4,0.008087948489713122,0.008066554934119183,0,Very likely lower,0,0.08898931090618245,15.019865962948804,7.098028891172021,34.81802099447909
Bến Tre,1994,2010,1332272,890.3657244086161,2.2574993004532478,11,1,2.2572410682292694,0.0503547959436925,2.1601031436818796,2.256679617588412,2.3575739465324896,0.19747080285061003,0.9999997919259545,Very likely elevated,150.87009259370458,150.8528347723912,0.02498335004870929,0.002470847847808799,0.2371442663030744
Bình Định,1994,528,1478506,988.0948227782956,0.5343616703864366,6,1,0.5347213224547478,0.023281443846290956,0.49051837576949486,0.5342152116969542,0.5818046921033995,0.0912863163339046,0,Very likely lower,35.71172521450708,35.7357609875577,0.8580268950794565,0.37622706314810606,2.115997811649946
Bình Dương,1994,2201,429480,287.0241747323463,7.668343623154602,3,1,7.666801516299181,0.1634482252371516,7.351267158425423,7.665059839735099,7.992246902535615,0.6409797441101919,0.9999997928280328,Very likely elevated,512.4802086243831,512.3771486570909,0.02334630302881992,7.191517916091874e-4,0.739439808260379
Bình Phước,1994,0,615749,411.50891442504303,0,4,1,0.002980264661037091,0.0048393882491333615,1.5584901901989016e-4,0.0015795081253007427,0.01436470436085454,0.01420885534183465,0,Very likely lower,0,0.1991729544607774,0.012211630273208578,6.130034156412675e-4,0.2383585840254317
Bình Thuận,1994,7103,1029436,687.978528312768,10.324450121168377,5,1,10.324460133989815,0.12250933723802458,10.086302936429876,10.323733367499964,10.56675288025243,0.48044994382255446,0.9999998011957434,Very likely elevated,689.9894699621929,689.9901391253227,63.44831434157647,30.09362988437634,146.65357449700113
Cà Mau,1994,5068,1089462,728.094280181269,6.960637019066064,13,1,6.9607765080534545,0.09778419697780631,6.770989392532661,6.960089779388048,7.154471364461397,0.38348197192873634,0.9999997993042715,Very likely elevated,465.18373288834306,465.1930550247615,0.015743767046343546,5.912522869566474e-4,0.40771767254489494
Cần Thơ,1994,1030,1075843,718.992617156961,1.432559911495091,14,1,1.4329915246360363,0.04466180135749994,1.3474023477695785,1.4322960479087499,1.5225385135204328,0.17513616575085433,0.9999997836147255,Very likely elevated,95.73887639739256,95.76772137401159,195.68836012070688,92.88846857904178,452.02697685751446
Cao Bằng,1994,0,496047,331.51131788082375,0,12,1,0.002181474467278191,0.008284908716359028,2.040961226135846e-5,5.698672584887569e-4,0.014045949855137269,0.01402554024287591,0,Very likely lower,0,0.1457893053623469,40.27010586623434,19.076501571207476,93.17223831710085
Đà Nẵng,1994,0,601969,402.29965409205494,0,59,1,0.0015990904608785322,0.0028430212164952855,6.322343533377946e-5,7.821805031880538e-4,0.008149125745134347,0.008085902309800568,0,Very likely lower,0,0.10686821734563377,3.1487487156105427,1.4416034316649549,7.487188755830214
Đắk Lắk,1994,249,1484360,992.0070876541528,0.2510062711233469,60,1,0.2514791982561841,0.01594885511463169,0.2216539306481607,0.25097497927187806,0.2841747005356861,0.06252076988752542,0,Very likely lower,16.77490635694845,16.80651237352923,0.4377293251686948,0.15862972710346887,1.2760792910167857
Đắk Nông,1994,0,312437,208.8036045470105,0,61,1,0.005485103883563626,0.010037122618320057,2.2890427397428365e-4,0.0026663515251689543,0.028024216289425672,0.02779531201545139,0,Very likely lower,0,0.366572929007413,0.014708040272934026,5.568767988758291e-4,0.37796148450955813
Điện Biên,1994,0,416522,278.364262149265,0,58,1,0.0027338222009809115,0.011749268197642158,2.0091087476402554e-5,6.400547725876355e-4,0.017897052772007427,0.017876961684531026,2.1801548129030124e-6,Very likely lower,0,0.18270305045671806,0.014124453192844444,7.036602031068932e-4,0.27756726218940503
Đồng Nai,1994,1450,1780447,1189.8838847668849,1.2186063014745978,62,1,1.2188457148586862,0.032014452460917005,1.1572689658810693,1.2184254832090526,1.2828138499094537,0.12554488402838437,0.9999997882647066,Very likely elevated,81.44022259578634,81.45622274223969,18.008601133644497,8.533633138511881,41.65734699086776
Đồng Tháp,1994,1468,1525551,1019.5352910196182,1.4398716875527484,63,1,1.4396942378878197,0.03758235509625899,1.3673994515180954,1.439203956054298,1.5147790383001762,0.14737958678208085,0.9999997884160142,Very likely elevated,96.22752697222184,96.21566789994078,3.968207523064013,1.8451171129162223,9.31967940479178
Gia Lai,1994,69,916079,612.2213350205668,0.11270433755413314,15,1,0.11280455273979657,0.013608717361569878,0.08847523912811231,0.11199254014907623,0.1417607657860107,0.0532855266578984,0,Very likely lower,7.532101489063717,7.538798932707353,0.011413711885753054,6.024457463677676e-4,0.21177019296494431
Hà Giang,1994,0,553049,369.60611160368205,0,17,1,0.002022892644367725,0.007636433173671959,1.9254920837786504e-5,5.324575309771832e-4,0.013001523992886233,0.012982269072048446,0,Very likely lower,0,0.13519118278424605,0.008518460146821697,5.09091017424035e-4,0.1393398864509238
Hà Nam,1994,0,794017,530.646535690727,0,18,1,0.0015481573390342374,0.004571987755378737,2.45527218622528e-5,5.093724261650644e-4,0.009417890999100793,0.00939333827723854,0,Very likely lower,0,0.10346432490270263,3.9246430019863734,1.8328164340438111,9.186723130090275
Hà Nội,1994,1187,2770173,1851.3239712927912,0.6411627669743348,19,1,0.6407864389550219,0.018606509689250438,0.6050724238327667,0.6405164733515268,0.6780367528971643,0.07296432906439754,0,Very likely lower,42.84930941136167,42.82415917405797,0.0394540909060814,0.004113827796811656,0.37246007383387464
