gadm_name,year,dengue_total,n_months,source
Bạc Liêu,1998,2034,12,OpenDengue
Bạc Liêu,1999,349,12,OpenDengue
Bạc Liêu,2000,92,12,OpenDengue
Bạc Liêu,2001,353,12,OpenDengue
Bạc Liêu,2002,365,12,OpenDengue
Bạc Liêu,2003,1515,12,OpenDengue
Bạc Liêu,2004,2762,12,OpenDengue
Bạc Liêu,2005,1653,12,OpenDengue
Bạc Liêu,2006,3228,12,OpenDengue
Bạc Liêu,2007,1398,12,OpenDengue
Bạc Liêu,2008,4050,12,OpenDengue
Bạc Liêu,2009,1033,12,OpenDengue
Bạc Liêu,2010,1716,12,OpenDengue
Bạc Liêu,2011,1947,12,GDPM
Bạc Liêu,2012,908,12,GDPM
Bạc Liêu,2013,385,12,GDPM
Bạc Liêu,2014,180,12,GDPM
Bạc Liêu,2015,521,12,GDPM
Bạc Liêu,2016,760,12,GDPM
Bạc Liêu,2017,892,12,GDPM
Bắc Giang,1994,31,11,OpenDengue
Bắc Giang,1995,145,12,OpenDengue
Bắc Giang,1996,6,12,OpenDengue
Bắc Giang,1997,5,12,OpenDengue
Bắc Giang,1998,112,12,OpenDengue
Bắc Giang,1999,19,12,OpenDengue
Bắc Giang,2000,7,12,OpenDengue
Bắc Giang,2001,21,12,OpenDengue
Bắc Giang,2002,21,12,OpenDengue
Bắc Giang,2003,1,12,OpenDengue
Bắc Giang,2004,1,12,OpenDengue
Bắc Giang,2005,0,12,OpenDengue
Bắc Giang,2006,0,12,OpenDengue
Bắc Giang,2007,0,12,OpenDengue
Bắc Giang,2008,0,12,OpenDengue
Bắc Giang,2009,425,12,OpenDengue
Bắc Giang,2010,725,12,OpenDengue
Bắc Giang,2011,32,12,GDPM
Bắc Giang,2012,56,12,GDPM
Bắc Giang,2013,49,12,GDPM
Bắc Giang,2014,45,12,GDPM
Bắc Giang,2015,53,12,GDPM
Bắc Giang,2016,2,12,GDPM
Bắc Giang,2017,960,12,GDPM
Bắc Kạn,1997,2,12,OpenDengue
Bắc Kạn,1998,2,12,OpenDengue
Bắc Kạn,1999,0,12,OpenDengue
Bắc Kạn,2000,0,12,OpenDengue
Bắc Kạn,2001,0,12,OpenDengue
Bắc Kạn,2002,0,12,OpenDengue
Bắc Kạn,2003,0,12,OpenDengue
Bắc Kạn,2004,1,12,OpenDengue
