gadm_name,year,observed,population,expected,sir_raw,province_id,time_id
An Giang,1994,2376,2077825,1388.6234652678527,1.7110469896471838,1,1
An Giang,1995,2290,2082043,2559.993190958269,0.8945336292643794,1,2
An Giang,1996,2315,2086269,2841.4358822660065,0.8147289243612349,1,3
An Giang,1997,5876,2090504,3065.4767957012696,1.916830689516208,1,4
An Giang,1998,9648,2094748,6665.151958638795,1.447528887543981,1,5
An Giang,1999,2716,2099000,1009.2893798428828,2.6910022578686035,1,6
An Giang,2000,3240,2103261,705.0055481911272,4.5957085136607105,1,7
An Giang,2001,4027,2107530,1161.87163423472,3.4659594755081784,1,8
An Giang,2002,1752,2111809,866.189062835648,2.02265310793058,1,9
An Giang,2003,1818,2116095,1350.5970189013692,1.3460713851410953,1,10
An Giang,2004,5283,2120391,2072.4601574300464,2.5491443013076704,1,11
An Giang,2005,2847,2124695,1488.2613763846687,1.9129704265496843,1,12
An Giang,2006,2775,2129008,1775.132158097325,1.5632638884613432,1,13
An Giang,2007,8833,2133330,2669.197239169488,3.309234653167991,1,14
An Giang,2008,2116,2137661,2435.2977877612584,0.868887579430364,1,15
An Giang,2009,4150,2142000,2630.3204829386536,1.5777545082124464,1,16
An Giang,2010,5518,2146348,3175.3481483054907,1.7377622050497532,1,17
Bà Rịa - Vũng Tàu,1994,0,740828,495.09999375667,0,2,1
Bà Rịa - Vũng Tàu,1995,4102,756394,930.0304987369084,4.410608045188843,2,2
Bà Rịa - Vũng Tàu,1996,1370,772288,1051.8331215406304,1.3024879821176838,2,3
Bà Rịa - Vũng Tàu,1997,584,788515,1156.2639610172412,0.5050749826071003,2,4
Bà Rịa - Vũng Tàu,1998,2270,805084,2561.6480834299664,0.8861482631761586,2,5
Bà Rịa - Vũng Tàu,1999,163,822000,395.25291578411134,0.41239417469353024,2,6
Bà Rịa - Vũng Tàu,2000,509,839272,281.32096608146287,1.8093212428845686,2,7
Bà Rịa - Vũng Tàu,2001,1678,856907,472.4089035397699,3.552007566806448,2,8
Bà Rịa - Vũng Tàu,2002,680,874912,358.8578348438057,1.8949008046486508,2,9
Bà Rịa - Vũng Tàu,2003,751,893296,570.1459124455743,1.3172066721984785,2,10
Bà Rịa - Vũng Tàu,2004,911,912066,891.4490044272932,1.0219317038614757,2,11
Bà Rịa - Vũng Tàu,2005,341,931230,652.288277390729,0.5227749935412938,2,12
Bà Rịa - Vũng Tàu,2006,1736,950797,792.7590363786619,2.1898205133429705,2,13
Bà Rịa - Vũng Tàu,2007,1318,970775,1214.6221868415855,1.0851110857996351,2,14
Bà Rịa - Vũng Tàu,2008,2694,991173,1129.178767909734,2.3858046897099974,2,15
Bà Rịa - Vũng Tàu,2009,3158,1012000,1242.709770650755,2.5412208663542475,2,16
Bà Rịa - Vũng Tàu,2010,758,1033264,1528.6304593247341,0.495868700885918,2,17
Bắc Giang,1994,31,1505764,1006.3115149522135,0.03080557018317741,8,1
