Model,DIC,WAIC
Main (BYM2 + RW1),-602913.581724114,1228126.3986168683
A: Tighter spatial prior,-602912.4593089197,1228210.087754279
B: Looser spatial prior,-602913.7424160427,1228099.2636020419
C: RW2 temporal,-602389.1660170763,1244727.9316168744
